Date,Open,High,Low,Close,Adj Close,Volume
2007-07-30,75.849998,76.529999,75.440002,75.739998,75.739998,2575
2007-07-31,75.699997,77.169998,75.669998,77.050003,77.050003,3513
2007-08-01,77.000000,77.059998,74.860001,75.349998,75.349998,3930
2007-08-02,75.220001,76.209999,74.269997,75.760002,75.760002,6180
2007-08-03,75.389999,76.000000,74.529999,74.750000,74.750000,4387
2007-08-06,74.540001,74.599998,70.870003,71.169998,71.169998,7201
2007-08-07,70.800003,72.010002,70.559998,71.800003,71.800003,6775
2007-08-08,71.440002,72.029999,70.660004,70.989998,70.989998,5768
2007-08-09,70.910004,71.080002,69.269997,70.209999,70.209999,6232
2007-08-10,69.910004,70.449997,68.970001,70.389999,70.389999,3947
2007-08-13,70.959999,71.830002,69.900002,70.230003,70.230003,4088
2007-08-14,70.309998,70.800003,69.610001,70.510002,70.510002,3966
2007-08-15,70.839996,72.199997,70.830002,71.639999,71.639999,3664
2007-08-16,70.620003,70.620003,69.050003,69.769997,69.769997,4762
2007-08-17,70.330002,71.070000,70.040001,70.440002,70.440002,3279
2007-08-20,69.680000,70.320000,68.940002,69.849998,69.849998,3852
2007-08-21,69.760002,70.510002,68.180000,68.690002,68.690002,5588
2007-08-22,68.970001,69.360001,68.190002,68.699997,68.699997,4232
2007-08-23,69.150002,69.970001,69.110001,69.860001,69.860001,4087
2007-08-24,69.550003,70.809998,69.519997,70.620003,70.620003,2786
2007-08-27,70.440002,71.110001,69.489998,70.949997,70.949997,3128
2007-08-28,71.050003,71.050003,70.199997,70.550003,70.550003,3421
2007-08-29,70.800003,72.260002,70.769997,72.129997,72.129997,4245
2007-08-30,72.099998,72.459999,71.379997,71.900002,71.900002,3257
2007-08-31,72.230003,73.059998,72.050003,72.690002,72.690002,3257
2007-09-04,73.260002,74.050003,72.800003,73.919998,73.919998,4057
2007-09-05,74.129997,74.379997,73.760002,74.339996,74.339996,3139
2007-09-06,74.779999,75.639999,73.750000,74.769997,74.769997,4852
2007-09-07,74.360001,75.220001,74.279999,75.070000,75.070000,3685
