Date,Open,High,Low,Close,Adj Close,Volume
2000-08-30,4.950000,4.950000,4.895000,4.930000,4.930000,2319
2000-08-31,4.920000,5.045000,4.920000,5.003000,5.003000,1612
2000-09-01,5.035000,5.035000,4.985000,5.004000,5.004000,1375
2000-09-04,null,null,null,null,null,null
2000-09-05,4.990000,5.005000,4.975000,4.998000,4.998000,856
2000-09-06,5.000000,5.000000,4.980000,4.983000,4.983000,232
2000-09-07,4.980000,4.980000,4.930000,4.935000,4.935000,300
2000-09-08,4.940000,4.945000,4.910000,4.923000,4.923000,120
2000-09-11,4.905000,4.910000,4.885000,4.885000,4.885000,113
2000-09-12,4.935000,4.940000,4.900000,4.909000,4.909000,211
2000-09-13,4.920000,4.920000,4.880000,4.892000,4.892000,87
2000-09-14,4.895000,4.910000,4.880000,4.888000,4.888000,103
2000-09-15,4.870000,4.880000,4.855000,4.868000,4.868000,16
2000-09-18,4.876000,4.876000,4.876000,4.876000,4.876000,15
2000-09-19,4.890000,4.890000,4.875000,4.883000,4.883000,111
2000-09-20,4.860000,4.865000,4.830000,4.830000,4.830000,13
2000-09-21,4.900000,4.900000,4.870000,4.872000,4.872000,16
2000-09-22,4.900000,4.910000,4.900000,4.910000,4.910000,29
2000-09-25,4.900000,4.915000,4.860000,4.915000,4.915000,219
2000-09-26,4.930000,4.931000,4.930000,4.931000,4.931000,0
2000-09-27,4.910000,4.968000,4.910000,4.968000,4.968000,0
2000-09-28,4.953000,4.953000,4.953000,4.953000,4.953000,1
2000-09-29,4.870000,4.899000,4.870000,4.899000,4.899000,0
2000-10-02,4.906000,4.906000,4.906000,4.906000,4.906000,0
2000-10-03,4.913000,4.913000,4.913000,4.913000,4.913000,4
2000-10-04,4.840000,4.874000,4.840000,4.874000,4.874000,1
2000-10-05,4.889000,4.889000,4.889000,4.889000,4.889000,1
2000-10-06,4.883000,4.883000,4.883000,4.883000,4.883000,0
2000-10-09,4.885000,4.885000,4.885000,4.885000,4.885000,0
2000-10-10,4.918000,4.918000,4.918000,4.918000,4.918000,0
2000-10-11,4.870000,4.870000,4.870000,4.870000,4.870000,0
2000-10-12,4.923000,4.923000,4.923000,4.923000,4.923000,0
2000-10-13,4.883000,4.883000,4.883000,4.883000,4.883000,0
2000-10-16,4.881000,4.881000,4.881000,4.881000,4.881000,0
2000-10-17,4.843000,4.843000,4.843000,4.843000,4.843000,0
2000-10-18,4.853000,4.853000,4.853000,4.853000,4.853000,0
2000-10-19,4.828000,4.828000,4.828000,4.828000,4.828000,0
2000-10-20,4.828000,4.828000,4.828000,4.828000,4.828000,0
2000-10-23,4.786000,4.786000,4.786000,4.786000,4.786000,6
2000-10-24,4.775000,4.799000,4.775000,4.799000,4.799000,0
2000-10-25,4.764000,4.764000,4.764000,4.764000,4.764000,0
2000-10-26,4.731000,4.731000,4.731000,4.731000,4.731000,0
2000-10-27,4.746000,4.746000,4.746000,4.746000,4.746000,1
2000-10-30,4.770000,4.770000,4.748000,4.748000,4.748000,0
2000-10-31,4.754000,4.754000,4.754000,4.754000,4.754000,1
2000-11-01,4.774000,4.774000,4.774000,4.774000,4.774000,0
2000-11-02,4.711000,4.711000,4.711000,4.711000,4.711000,4
2000-11-03,4.741000,4.741000,4.741000,4.741000,4.741000,0
2000-11-06,4.761000,4.761000,4.761000,4.761000,4.761000,0
2000-11-07,4.721000,4.721000,4.721000,4.721000,4.721000,0
2000-11-08,4.739000,4.739000,4.739000,4.739000,4.739000,0
2000-11-09,4.749000,4.749000,4.749000,4.749000,4.749000,0
2000-11-10,4.707000,4.707000,4.707000,4.707000,4.707000,1
2000-11-13,4.700000,4.700000,4.672000,4.672000,4.672000,0
2000-11-14,4.679000,4.679000,4.679000,4.679000,4.679000,20
2000-11-15,4.672000,4.672000,4.672000,4.672000,4.672000,0
2000-11-16,4.680000,4.680000,4.660000,4.660000,4.660000,0
2000-11-17,4.645000,4.645000,4.645000,4.645000,4.645000,0
2000-11-20,4.642000,4.642000,4.642000,4.642000,4.642000,0
2000-11-21,4.627000,4.627000,4.627000,4.627000,4.627000,0
2000-11-22,4.625000,4.625000,4.625000,4.625000,4.625000,0
2000-11-23,null,null,null,null,null,null
2000-11-24,null,null,null,null,null,null
2000-11-27,4.695000,4.695000,4.695000,4.695000,4.695000,0
2000-11-28,4.698000,4.698000,4.698000,4.698000,4.698000,23582
2000-11-29,4.695000,4.710000,4.600000,4.615000,4.615000,4660
2000-11-30,4.605000,4.675000,4.600000,4.674000,4.674000,325
2000-12-01,4.675000,4.685000,4.640000,4.640000,4.640000,208
2000-12-04,4.650000,4.745000,4.650000,4.714000,4.714000,129
2000-12-05,4.700000,4.720000,4.675000,4.704000,4.704000,409
2000-12-06,4.695000,4.760000,4.695000,4.754000,4.754000,141
2000-12-07,4.765000,4.765000,4.705000,4.724000,4.724000,14
2000-12-08,4.700000,4.700000,4.648000,4.648000,4.648000,49
2000-12-11,4.656000,4.665000,4.655000,4.656000,4.656000,229
