Date,Open,High,Low,Close,Adj Close,Volume
2002-03-04,59.700001,59.875000,59.599998,59.650002,59.650002,0
2002-03-05,59.150002,59.150002,58.700001,58.799999,58.799999,0
2002-03-06,58.500000,58.799999,57.700001,57.700001,57.700001,0
2002-03-07,58.200001,58.599998,58.000000,58.400002,58.400002,0
2002-03-08,58.250000,58.250000,57.900002,58.049999,58.049999,0
2002-03-11,57.924999,58.025002,57.575001,57.575001,57.575001,0
2002-03-12,57.349998,57.549999,57.250000,57.275002,57.275002,0
2002-03-13,57.200001,57.200001,56.625000,56.700001,56.700001,0
2002-03-14,56.775002,56.825001,56.200001,56.724998,56.724998,0
2002-03-15,55.075001,55.224998,55.025002,55.075001,55.075001,0
2002-03-18,55.075001,55.224998,53.250000,55.075001,55.075001,0
2002-03-19,53.424999,53.424999,52.799999,52.549999,52.549999,0
2002-03-20,52.799999,52.799999,52.799999,52.799999,52.799999,0
2002-03-21,53.474998,53.474998,53.474998,53.474998,53.474998,0
2002-03-22,52.950001,52.950001,52.950001,52.950001,52.950001,0
2002-03-25,53.275002,53.275002,53.275002,53.275002,53.275002,0
2002-03-26,52.900002,52.900002,52.900002,52.900002,52.900002,0
2002-03-27,52.799999,52.875000,52.575001,52.549999,52.549999,0
2002-03-28,51.875000,51.875000,51.875000,51.875000,51.875000,0
2002-03-29,null,null,null,null,null,null
2002-04-01,51.000000,51.250000,51.000000,51.049999,51.049999,0
2002-04-02,49.549999,49.575001,49.549999,49.575001,49.575001,0
2002-04-03,48.875000,48.950001,47.950001,47.700001,47.700001,0
2002-04-04,47.025002,47.200001,46.799999,46.950001,46.950001,0
2002-04-05,45.974998,45.974998,45.974998,45.974998,45.974998,0
2002-04-08,45.224998,45.224998,45.224998,43.974998,43.974998,0
2002-04-09,43.424999,43.424999,42.700001,42.525002,42.525002,0
2002-04-10,41.450001,41.450001,41.450001,41.450001,41.450001,0
2002-04-11,41.775002,41.775002,41.775002,41.775002,41.775002,0
2002-04-12,41.950001,41.950001,41.950001,41.950001,41.950001,0
2002-04-15,48.224998,48.224998,48.224998,48.224998,48.224998,0
2002-04-16,48.349998,48.349998,48.349998,48.349998,48.349998,0
2002-04-17,50.349998,50.349998,50.349998,50.349998,50.349998,0
2002-04-18,51.950001,51.950001,51.950001,51.950001,51.950001,0
2002-04-19,53.750000,53.750000,53.750000,53.750000,53.750000,0
2002-04-22,53.200001,53.200001,53.200001,53.200001,53.200001,0
2002-04-23,51.200001,51.200001,51.200001,51.200001,51.200001,0
2002-04-24,50.525002,50.525002,50.525002,50.525002,50.525002,0
2002-04-25,49.724998,49.724998,49.724998,49.724998,49.724998,0
2002-04-26,47.724998,47.724998,47.724998,47.724998,47.724998,0
2002-04-29,45.724998,45.724998,45.724998,45.724998,45.724998,0
2002-04-30,45.599998,45.599998,45.599998,45.599998,45.599998,0
2002-05-01,44.799999,44.799999,44.799999,44.799999,44.799999,0
2002-05-02,46.049999,46.049999,46.049999,46.049999,46.049999,0
2002-05-03,46.974998,46.974998,46.974998,46.974998,46.974998,0
2002-05-06,47.299999,47.349998,46.799999,46.825001,46.825001,0
2002-05-07,47.000000,47.000000,46.400002,46.750000,46.750000,0
2002-05-08,45.400002,45.400002,45.400002,45.400002,45.400002,0
2002-05-09,45.799999,45.799999,45.799999,45.799999,45.799999,0
2002-05-10,45.950001,45.950001,45.950001,45.950001,45.950001,0
2002-05-13,46.299999,46.299999,46.299999,46.299999,46.299999,0
2002-05-14,46.400002,46.400002,46.400002,46.400002,46.400002,0
2002-05-15,53.775002,53.775002,53.775002,53.775002,53.775002,0
2002-05-16,53.349998,53.375000,53.099998,52.825001,52.825001,0
2002-05-17,53.174999,53.174999,53.174999,53.174999,53.174999,0
2002-05-20,51.174999,51.174999,51.174999,51.174999,51.174999,0
2002-05-21,49.174999,49.174999,49.174999,49.174999,49.174999,0
2002-05-22,47.875000,47.875000,47.875000,47.875000,47.875000,0
2002-05-23,48.525002,48.525002,48.525002,48.525002,48.525002,0
2002-05-24,48.375000,48.375000,48.375000,48.375000,48.375000,0
2002-05-27,null,null,null,null,null,null
2002-05-28,46.375000,46.375000,46.375000,46.375000,46.375000,0
2002-05-29,46.424999,46.424999,46.424999,46.424999,46.424999,0
2002-05-30,46.150002,46.150002,46.150002,46.150002,46.150002,0
2002-05-31,46.750000,46.750000,46.750000,46.750000,46.750000,0
2002-06-03,47.474998,47.474998,47.474998,47.474998,47.474998,0
2002-06-04,46.474998,46.474998,46.474998,46.474998,46.474998,0
2002-06-05,46.950001,46.950001,46.950001,46.950001,46.950001,0
2002-06-06,48.549999,48.950001,48.549999,48.799999,48.799999,0
2002-06-07,49.875000,49.875000,49.875000,49.875000,49.875000,0
2002-06-10,48.849998,48.849998,48.849998,48.849998,48.849998,0
2002-06-11,48.724998,48.724998,48.724998,48.724998,48.724998,0
2002-06-12,48.250000,48.250000,48.250000,48.250000,48.250000,0
2002-06-13,48.375000,48.375000,48.375000,48.375000,48.375000,0
2002-06-14,48.599998,48.599998,48.599998,48.599998,48.599998,0
2002-06-17,49.849998,49.849998,49.849998,49.849998,49.849998,0
2002-06-18,50.700001,50.700001,50.700001,50.700001,50.700001,0
2002-06-19,50.349998,50.349998,50.349998,50.349998,50.349998,0
2002-06-20,51.575001,51.575001,51.575001,51.575001,51.575001,0
2002-06-21,51.474998,51.474998,51.474998,51.474998,51.474998,0
2002-06-24,51.724998,51.724998,51.724998,51.724998,51.724998,0
2002-06-25,50.875000,50.875000,50.875000,50.875000,50.875000,0
2002-06-26,50.450001,50.474998,50.400002,50.775002,50.775002,0
2002-06-27,50.400002,50.825001,50.349998,50.625000,50.625000,0
2002-06-28,50.525002,50.525002,50.525002,50.525002,50.525002,0
2002-07-01,51.950001,51.950001,51.950001,51.950001,51.950001,0
2002-07-02,52.299999,52.299999,52.299999,52.299999,52.299999,0
2002-07-03,52.974998,52.974998,52.974998,52.974998,52.974998,0
2002-07-04,null,null,null,null,null,null
2002-07-05,54.974998,54.974998,54.974998,54.974998,54.974998,0
2002-07-08,54.900002,54.900002,54.900002,54.900002,54.900002,0
2002-07-09,53.924999,53.924999,53.924999,53.924999,53.924999,0
2002-07-10,53.875000,53.875000,53.875000,53.875000,53.875000,0
2002-07-11,53.950001,53.950001,53.950001,53.950001,53.950001,0
2002-07-12,54.025002,54.025002,54.025002,54.025002,54.025002,0
